id,title,release_date,popularity,vote_average,vote_count
1007757,Swapped,2026-05-01,439.3294,8.978,713
1226863,The Super Mario Galaxy Movie,2026-04-01,385.0295,6.697,821
687163,Project Hail Mary,2026-03-15,369.2965,8.432,2700
1318447,Apex,2026-04-24,311.0979,6.607,903
350,The Devil Wears Prada,2006-06-29,288.555,7.4,13333
1523145,Your Heart Will Be Broken,2026-03-26,236.6187,6.799,77
1198994,Send Help,2026-01-22,230.8622,7.037,1361
931285,Mortal Kombat II,2026-05-06,223.6578,7.083,139
1630423,My Dearest Assassin,2026-05-06,222.8938,8.456,102
1266127,Ready or Not 2: Here I Come,2026-03-19,179.0672,7.509,620
936075,Michael,2026-04-22,159.5523,7.542,664
83533,Avatar: Fire and Ash,2025-12-17,158.9445,7.426,2963
1327819,Hoppers,2026-03-04,154.6615,7.951,966
1330021,Remarkably Bright Creatures,2026-05-07,141.8722,8.4,148
1292415,Beast,2026-04-10,135.1991,6.763,19
10867,Malena,2000-10-27,125.5315,7.439,2547
1669050,Tayuan 2,2026-04-17,123.2287,3.7,3
1241752,Rita,2024-03-22,122.5153,6.1,21
1613798,Vengeance,2026-02-26,119.0393,7.204,162
1297842,GOAT,2026-02-11,116.8097,8.02,550
